,allStar,ast,ast_pct,blk,blk_pct,bpm,class,conf_abbr,dbpm,def_rtg,drb,drb_pct,dws,efg_pct,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,obpm,off_rtg,orb,orb_pct,ows,per,pf,pick_overall,player,pos,pprod,pts,round,school_name,season,stl,stl_pct,tov,tov_pct,trb,trb_pct,ts_pct,usg_pct,ws,year_drafted,pts_pg,fg_p,fg2_p,fg3_p,ft_p,trb_p,ast_p,stl_p,blk_p
90,1.0,75.0,14.1,56.0,3.6,7.4,FR,Pac-10,2.9,97.9,273.0,14.8,5.7,0.595,227.0,198.0,324.0,29.0,82.0,406.0,198.0,258.0,39.0,1156.0,4.1,114.1,142.0,6.0,5.6,21.2,73.0,5,Kevin Love,C,425.0,681.0,1,UCLA,2007-08,27.0,1.9,78.0,12.9,415.0,22.1,0.644,27.0,11.3,2008,17.46153846153846,0.5591133004926109,0.6111111111111112,0.35365853658105295,0.7674418604621417,10.64102564102564,1.9230769230769231,0.6923076923076923,1.435897435897436
110,1.0,135.0,25.1,26.0,1.8,7.4,SR,Pac-10,2.9,97.9,117.0,14.8,2.9,0.551,228.0,189.0,352.0,39.0,97.0,449.0,171.0,211.0,33.0,1046.0,4.1,114.1,69.0,6.0,4.1,21.2,81.0,6,Brandon Roy,G,425.0,666.0,1,Washington,2005-06,46.0,1.9,75.0,12.0,186.0,10.5,0.606,27.5,7.0,2006,20.181818181818183,0.5077951002227171,0.5369318181818182,0.4020618556659581,0.8104265402805193,5.636363636363637,4.090909090909091,1.393939393939394,0.7878787878787878
129,1.0,36.0,12.7,76.0,1.8,7.4,JR,WAC,2.9,97.9,241.0,14.8,6.7,0.5760000000000001,258.0,253.0,438.0,5.0,14.0,452.0,127.0,204.0,33.0,1126.0,4.1,114.1,197.0,6.0,4.1,21.2,101.0,47,Paul Millsap,F,425.0,648.0,2,Louisiana Tech,2005-06,62.0,1.9,83.0,13.1,438.0,11.0,0.59,22.9,10.8,2006,19.636363636363637,0.5707964601769911,0.5776255707762558,0.35714285711734695,0.6225490196047915,13.272727272727273,1.0909090909090908,1.878787878787879,2.303030303030303
138,1.0,102.0,12.7,52.0,1.8,7.4,SR,A-10,2.9,97.9,278.0,14.8,5.7,0.524,213.0,204.0,389.0,9.0,26.0,415.0,209.0,256.0,32.0,1168.0,4.1,114.1,100.0,6.0,4.0,21.2,95.0,18,David West,F,425.0,644.0,1,Xavier,2002-03,42.0,1.9,85.0,13.7,378.0,11.0,0.6,22.9,9.7,2003,20.125,0.5132530120481927,0.5244215938303342,0.3461538461405325,0.816406249996811,11.8125,3.1875,1.3125,1.625
192,1.0,112.0,23.3,4.0,0.4,7.4,SO,Big Sky,2.9,105.1,114.0,12.8,1.0,0.529,185.0,101.0,215.0,84.0,214.0,429.0,163.0,191.0,31.0,1062.0,4.1,121.2,11.0,1.2,4.4,24.8,58.0,6,Damian Lillard,G,581.0,617.0,1,Weber State,2009-10,35.0,1.9,74.0,12.5,125.0,6.9,0.594,28.0,5.4,2012,19.903225806451612,0.43123543123543123,0.4697674418604651,0.3925233644841471,0.8534031413567885,4.032258064516129,3.6129032258064515,1.1290322580645162,0.12903225806451613
197,1.0,241.0,34.8,19.0,1.5,7.4,FR,SEC,2.9,94.1,129.0,10.1,2.6,0.503,202.0,165.0,324.0,37.0,114.0,438.0,175.0,232.0,37.0,1288.0,4.1,111.7,30.0,2.7,3.7,22.3,72.0,1,John Wall,G,669.0,616.0,1,Kentucky,2009-10,66.0,2.9,149.0,21.4,159.0,6.6,0.562,25.7,6.3,2010,16.64864864864865,0.4611872146118721,0.5092592592592593,0.3245614035059249,0.7543103448243349,4.297297297297297,6.513513513513513,1.7837837837837838,0.5135135135135135
221,1.0,70.0,15.4,22.0,2.3,7.4,SO,Pac-10,2.9,104.2,122.0,13.5,1.1,0.491,200.0,124.0,276.0,76.0,209.0,485.0,133.0,166.0,31.0,1096.0,4.1,105.6,37.0,4.1,2.5,21.0,75.0,11,Klay Thompson,G,556.0,609.0,1,Washington State,2009-10,44.0,2.4,104.0,15.6,159.0,8.8,0.54,31.0,3.6,2011,19.64516129032258,0.41237113402061853,0.4492753623188406,0.36363636363462376,0.8012048192722819,5.129032258064516,2.2580645161290325,1.4193548387096775,0.7096774193548387
229,1.0,59.0,13.4,48.0,3.2,7.4,SR,ACC,2.9,97.9,155.0,14.8,3.5,0.539,204.0,151.0,286.0,53.0,142.0,428.0,145.0,174.0,31.0,1002.0,4.1,114.1,102.0,6.0,3.6,21.2,89.0,29,Josh Howard,F,425.0,606.0,1,Wake Forest,2002-03,64.0,1.9,82.0,13.8,257.0,14.0,0.593,28.0,7.0,2003,19.548387096774192,0.4766355140186916,0.527972027972028,0.3732394366170899,0.8333333333285441,8.290322580645162,1.903225806451613,2.064516129032258,1.5483870967741935
232,1.0,110.0,24.7,19.0,1.3,7.4,FR,Pac-10,2.9,97.9,135.0,14.8,1.8,0.586,196.0,152.0,264.0,44.0,108.0,372.0,169.0,224.0,34.0,1158.0,4.1,114.1,44.0,6.0,4.9,21.2,72.0,3,James Harden,G,425.0,605.0,1,Arizona State,2007-08,73.0,1.9,89.0,15.7,179.0,10.3,0.632,28.3,6.7,2009,17.794117647058822,0.5268817204301075,0.5757575757575758,0.4074074074036351,0.7544642857109176,5.264705882352941,3.235294117647059,2.1470588235294117,0.5588235294117647
239,1.0,141.0,24.2,35.0,3.3,12.7,SR,Big Ten,7.2,83.6,315.0,30.7,3.6,0.504,212.0,160.0,338.0,52.0,134.0,472.0,125.0,173.0,37.0,1229.0,5.5,109.6,79.0,8.2,3.5,26.1,105.0,35,Draymond Green,F,610.0,601.0,2,Michigan State,2011-12,54.0,2.7,112.0,16.8,394.0,19.8,0.542,28.2,7.1,2012,16.243243243243242,0.4491525423728814,0.47337278106508873,0.38805970148964136,0.7225433525969795,10.64864864864865,3.810810810810811,1.4594594594594594,0.9459459459459459
