,year_drafted,round,pick_overall,player,school_name,g,mp,fg,fga,fg2,fg2a,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,obpm,dbpm,bpm,ts_pct,efg_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,ows,dws,ws,pprod,allStar,pts_pg,fg_p,fg2_p,fg3_p,ft_p,trb_p,ast_p,stl_p,blk_p
10,2003,1,16,Troy Bell,Boston College,31.0,1198.0,224.0,508.0,118.0,244.0,106.0,264.0,227.0,268.0,48.0,94.0,142.0,115.0,70.0,6.0,79.0,66.0,781.0,21.2,4.1,2.9,7.4,0.615,0.545,6.0,14.8,11.0,12.7,1.9,1.8,11.1,22.9,114.1,97.9,4.9,1.3,6.2,425.0,0.0,25.193548387096776,0.4409448818897638,0.48360655737704916,0.40151515151363065,0.8470149253699738,4.580645161290323,3.7096774193548385,2.2580645161290325,0.1935483870967742
11,2003,1,18,David West,Xavier,32.0,1168.0,213.0,415.0,204.0,389.0,9.0,26.0,209.0,256.0,100.0,278.0,378.0,102.0,42.0,52.0,85.0,95.0,644.0,21.2,4.1,2.9,7.4,0.6,0.524,6.0,14.8,11.0,12.7,1.9,1.8,13.7,22.9,114.1,97.9,4.0,5.7,9.7,425.0,1.0,20.125,0.5132530120481927,0.5244215938303342,0.3461538461405325,0.816406249996811,11.8125,3.1875,1.3125,1.625
12,2003,1,20,Dahntay Jones,Duke,33.0,1014.0,198.0,421.0,151.0,303.0,47.0,118.0,140.0,187.0,46.0,134.0,180.0,29.0,38.0,18.0,63.0,101.0,583.0,21.2,4.1,2.9,7.4,0.5720000000000001,0.526,6.0,14.8,10.0,6.0,1.9,1.2,11.0,26.2,114.1,97.9,2.8,2.0,4.8,425.0,0.0,17.666666666666668,0.47030878859857483,0.49834983498349833,0.39830508474238724,0.7486631016002746,5.454545454545454,0.8787878787878788,1.1515151515151516,0.5454545454545454
13,2003,1,24,Brian Cook,Illinois,30.0,940.0,202.0,422.0,175.0,333.0,27.0,89.0,168.0,205.0,44.0,183.0,227.0,60.0,20.0,13.0,83.0,88.0,599.0,21.2,4.1,2.9,7.4,0.5770000000000001,0.511,6.0,14.8,14.2,14.0,1.9,1.0,13.8,32.8,114.1,97.9,3.3,2.3,5.6,425.0,0.0,19.966666666666665,0.4786729857819905,0.5255255255255256,0.30337078651344523,0.8195121951179536,7.566666666666666,2.0,0.6666666666666666,0.43333333333333335
14,2003,1,29,Josh Howard,Wake Forest,31.0,1002.0,204.0,428.0,151.0,286.0,53.0,142.0,145.0,174.0,102.0,155.0,257.0,59.0,64.0,48.0,82.0,89.0,606.0,21.2,4.1,2.9,7.4,0.593,0.539,6.0,14.8,14.0,13.4,1.9,3.2,13.8,28.0,114.1,97.9,3.6,3.5,7.0,425.0,1.0,19.548387096774192,0.4766355140186916,0.527972027972028,0.3732394366170899,0.8333333333285441,8.290322580645162,1.903225806451613,2.064516129032258,1.5483870967741935
15,2003,2,31,Jason Kapono,UCLA,29.0,969.0,171.0,374.0,107.0,213.0,64.0,161.0,81.0,92.0,52.0,99.0,151.0,59.0,17.0,0.0,61.0,65.0,487.0,21.2,4.1,2.9,7.4,0.583,0.5429999999999999,6.0,14.8,8.7,12.0,1.9,0.0,12.7,23.3,114.1,97.9,2.5,0.4,2.9,425.0,0.0,16.79310344827586,0.4572192513368984,0.5023474178403756,0.39751552794784156,0.8804347825991257,5.206896551724138,2.0344827586206895,0.5862068965517241,0.0
16,2003,2,32,Luke Walton,Arizona,28.0,772.0,107.0,255.0,79.0,182.0,28.0,73.0,59.0,87.0,40.0,117.0,157.0,142.0,26.0,7.0,78.0,56.0,301.0,21.2,4.1,2.9,7.4,0.508,0.475,6.0,14.8,10.4,30.2,1.9,0.6,20.8,21.4,114.1,97.9,0.7,2.0,2.7,425.0,0.0,10.75,0.4196078431372549,0.4340659340659341,0.3835616438303622,0.678160919532435,5.607142857142857,5.071428571428571,0.9285714285714286,0.25
17,2003,2,36,Mario Austin,Mississippi State,25.0,823.0,149.0,279.0,144.0,267.0,5.0,12.0,85.0,128.0,66.0,126.0,192.0,30.0,27.0,17.0,61.0,49.0,388.0,21.2,4.1,2.9,7.4,0.5710000000000001,0.5429999999999999,6.0,14.8,11.0,12.7,1.9,1.8,15.2,22.9,114.1,97.9,2.2,2.2,4.4,425.0,0.0,15.52,0.5340501792114696,0.5393258426966292,0.41666666663194446,0.664062499994812,7.68,1.2,1.08,0.68
18,2003,2,38,Steve Blake,Maryland,31.0,1009.0,114.0,275.0,50.0,121.0,64.0,154.0,68.0,83.0,22.0,92.0,114.0,221.0,50.0,5.0,99.0,54.0,360.0,21.2,4.1,2.9,7.4,0.5720000000000001,0.531,6.0,14.8,5.9,36.0,1.9,0.3,23.9,19.1,114.1,97.9,2.0,2.1,4.1,425.0,0.0,11.612903225806452,0.41454545454545455,0.4132231404958678,0.415584415581717,0.8192771084238641,3.6774193548387095,7.129032258064516,1.6129032258064515,0.16129032258064516
19,2003,2,40,Derrick Zimmerman,Mississippi State,31.0,1024.0,99.0,208.0,84.0,156.0,15.0,52.0,63.0,97.0,25.0,105.0,130.0,171.0,58.0,26.0,105.0,64.0,276.0,21.2,4.1,2.9,7.4,0.5429999999999999,0.512,6.0,14.8,11.0,12.7,1.9,1.8,29.2,22.9,114.1,97.9,1.4,3.1,4.5,425.0,0.0,8.903225806451612,0.47596153846153844,0.5384615384615384,0.28846153845599115,0.6494845360757785,4.193548387096774,5.516129032258065,1.8709677419354838,0.8387096774193549
