,player,class,season,pos,school_name,conf_abbr,g,mp,fg,fga,fg2,fg2a,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,obpm,dbpm,bpm,ts_pct,efg_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,ows,dws,ws,pprod,year_drafted,round,pick_overall,allStar,pts_pg,fg_p,fg2_p,fg3_p,ft_p,trb_p,ast_p,stl_p,blk_p
24,Alec Burks,SO,2010-11,G,Colorado,Big 12,38.0,1193.0,251,535,223,439,28,96,249,302,91.0,156.0,247,112,41,12,99.0,89.0,779,29.4,7.3,-0.1,7.2,0.574,0.495,9.2,14.8,12.1,19.6,2.0,1.0,12.7,32.3,120.2,106.0,5.6,1.0,6.6,771.0,2011,1,12,0,20.5,0.4691588785046729,0.5079726651480638,0.29166666666362845,0.824503311255548,6.5,2.9473684210526314,1.0789473684210527,0.3157894736842105
453,Jack McClinton,SO,2006-07,G,Miami (FL),ACC,31.0,976.0,163,403,72,196,91,207,102,114,14.0,63.0,77,66,22,1,74.0,70.0,519,21.2,4.1,2.9,7.4,0.568,0.517,6.0,14.8,11.0,12.7,1.9,1.8,13.9,22.9,114.1,97.9,2.5,0.7,3.2,425.0,2009,2,51,0,16.741935483870968,0.4044665012406948,0.3673469387755102,0.4396135265679246,0.8947368420974146,2.4838709677419355,2.129032258064516,0.7096774193548387,0.03225806451612903
679,Courtney Lee,FR,2004-05,G,Western Kentucky,Sun Belt,31.0,1028.0,176,391,119,248,57,143,52,72,58.0,102.0,160,63,55,17,72.0,85.0,461,21.2,4.1,2.9,7.4,0.542,0.523,6.0,14.8,9.2,12.0,1.9,1.2,14.5,23.9,114.1,97.9,1.8,1.6,3.4,425.0,2008,1,22,0,14.870967741935484,0.45012787723785164,0.4798387096774194,0.3986013985986112,0.7222222222121913,5.161290322580645,2.032258064516129,1.7741935483870968,0.5483870967741935
1221,Joel Bolomboy,SO,2013-14,F,Weber State,Big Sky,30.0,903.0,83,170,82,169,1,1,94,129,107.0,222.0,329,17,15,25,44.0,76.0,261,18.8,-1.5,0.3,-1.1,0.564,0.491,16.3,27.9,22.6,3.8,1.0,2.6,16.0,16.8,118.1,97.7,1.9,1.8,3.7,300.0,2016,2,52,0,8.7,0.48823529411764705,0.48520710059171596,0.9999999989999999,0.728682170536987,10.966666666666667,0.5666666666666667,0.5,0.8333333333333334
771,Austin Daye,SO,2008-09,F,Gonzaga,WCC,34.0,895.0,159,333,123,249,36,84,77,109,36.0,196.0,232,37,24,70,73.0,97.0,431,21.2,4.1,2.9,7.4,0.56,0.532,6.0,14.8,14.5,7.8,1.9,6.2,15.9,26.0,114.1,97.9,2.1,3.6,5.7,425.0,2009,1,15,0,12.676470588235293,0.4774774774774775,0.4939759036144578,0.4285714285663265,0.7064220183421429,6.823529411764706,1.088235294117647,0.7058823529411765,2.0588235294117645
1246,Nerlens Noel,FR,2012-13,F,Kentucky,SEC,24.0,765.0,98,166,98,166,0,0,55,104,65.0,162.0,227,38,50,106,45.0,62.0,251,27.3,2.9,11.7,14.6,0.583,0.59,10.4,23.9,17.4,9.5,3.9,13.2,17.3,17.4,112.9,82.3,1.6,2.3,3.9,257.0,2013,1,6,0,10.458333333333334,0.5903614457831325,0.5903614457831325,0.0,0.5288461538410688,9.458333333333334,1.5833333333333333,2.0833333333333335,4.416666666666667
289,Doug McDermott,FR,2010-11,F,Creighton,MVC,39.0,1133.0,220,419,173,303,47,116,94,126,82.0,198.0,280,45,11,4,87.0,81.0,581,22.9,3.8,-1.4,2.5,0.607,0.581,9.4,20.3,15.2,9.8,0.6,0.4,15.4,27.4,112.4,104.0,3.3,1.2,4.4,518.0,2014,1,11,0,14.897435897435898,0.5250596658711217,0.570957095709571,0.40517241378961055,0.7460317460258251,7.17948717948718,1.1538461538461537,0.28205128205128205,0.10256410256410256
552,Grayson Allen,JR,2016-17,G,Duke,ACC,34.0,1007.0,141,357,60,135,81,222,129,159,23.0,104.0,127,119,26,2,74.0,78.0,492,19.2,6.5,0.5,7.0,0.569,0.508,2.7,11.3,7.2,21.5,1.5,0.2,14.6,25.1,116.6,104.8,3.0,1.2,4.2,499.0,2018,1,21,0,14.470588235294118,0.3949579831932773,0.4444444444444444,0.36486486486322134,0.8113207547118786,3.735294117647059,3.5,0.7647058823529411,0.058823529411764705
1498,George Hill,JR,2006-07,G,IUPUI,Mid-Cont,5.0,142.0,27,53,23,40,4,13,15,23,11.0,16.0,27,10,8,0,20.0,16.0,73,21.2,4.1,2.9,7.4,0.5710000000000001,0.547,6.0,14.8,11.7,18.9,1.9,0.0,23.8,30.8,114.1,97.9,0.4,0.2,0.6,425.0,2008,1,26,0,14.6,0.5094339622641509,0.575,0.30769230766863903,0.6521739130151228,5.4,2.0,1.6,0.0
726,Anthony Brown,JR,2013-14,G,Stanford,Pac-12,36.0,1206.0,142,299,89,182,53,117,106,135,33.0,147.0,180,75,31,4,70.0,67.0,443,16.6,4.0,1.8,5.8,0.61,0.564,3.3,13.9,8.8,12.4,1.5,0.4,16.2,18.7,115.8,104.5,2.5,1.6,4.0,427.0,2015,2,34,0,12.305555555555555,0.47491638795986624,0.489010989010989,0.45299145298758126,0.7851851851793691,5.0,2.0833333333333335,0.8611111111111112,0.1111111111111111
