,year_drafted,round,pick_overall,player,school_name,g,mp,fg,fga,fg2,fg2a,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,obpm,dbpm,bpm,ts_pct,efg_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,ows,dws,ws,pprod,allStar,pts_pg,fg_p,fg2_p,fg3_p,ft_p,trb_p,ast_p,stl_p,blk_p
10,2011,1,18,Chris Singleton,Florida State,28.0,814.0,124.0,286.0,89.0,191.0,35.0,95.0,84.0,126.0,58.0,133.0,191.0,33.0,55.0,41.0,61.0,90.0,367.0,21.9,2.6,6.9,9.5,0.531,0.495,8.2,17.0,12.8,8.9,3.9,5.9,15.0,24.5,105.6,84.2,1.5,2.4,3.9,344.0,0.0,13.107142857142858,0.43356643356643354,0.46596858638743455,0.3684210526277008,0.6666666666613756,6.821428571428571,1.1785714285714286,1.9642857142857142,1.4642857142857142
11,2011,1,19,Tobias Harris,Tennessee,34.0,993.0,185.0,402.0,162.0,326.0,23.0,76.0,128.0,170.0,67.0,180.0,247.0,44.0,24.0,29.0,62.0,70.0,521.0,23.8,3.3,2.3,5.5,0.54,0.489,7.5,20.6,14.0,10.4,1.4,3.4,11.4,27.2,112.7,98.8,2.9,1.5,4.4,476.0,0.0,15.323529411764707,0.4601990049751244,0.49693251533742333,0.30263157894338644,0.7529411764661592,7.264705882352941,1.2941176470588236,0.7058823529411765,0.8529411764705882
12,2011,1,21,Nolan Smith,Duke,37.0,1259.0,260.0,568.0,203.0,405.0,57.0,163.0,187.0,230.0,44.0,122.0,166.0,189.0,45.0,3.0,118.0,72.0,764.0,25.7,7.3,2.3,9.6,0.564,0.508,4.1,10.1,7.2,30.3,2.0,0.2,14.8,30.7,116.8,96.0,5.1,2.3,7.4,779.0,0.0,20.64864864864865,0.45774647887323944,0.5012345679012346,0.34969325153159697,0.8130434782573346,4.486486486486487,5.108108108108108,1.2162162162162162,0.08108108108108109
13,2011,1,24,Reggie Jackson,Boston College,34.0,1161.0,219.0,435.0,148.0,266.0,71.0,169.0,109.0,137.0,35.0,111.0,146.0,152.0,36.0,18.0,81.0,58.0,618.0,26.9,9.0,0.2,9.1,0.618,0.585,3.9,11.3,7.8,29.7,1.9,1.7,13.9,27.2,122.8,109.8,5.0,0.6,5.6,609.0,0.0,18.176470588235293,0.503448275862069,0.556390977443609,0.4201183431927804,0.7956204379503969,4.294117647058823,4.470588235294118,1.0588235294117647,0.5294117647058824
14,2011,1,26,Jordan Hamilton,Texas,36.0,1159.0,243.0,552.0,153.0,318.0,90.0,234.0,95.0,122.0,72.0,204.0,276.0,76.0,31.0,23.0,77.0,64.0,671.0,25.6,7.2,3.3,10.4,0.55,0.522,7.0,18.5,12.9,14.6,1.6,1.8,11.2,29.1,115.5,90.6,4.0,2.7,6.7,612.0,0.0,18.63888888888889,0.44021739130434784,0.4811320754716981,0.38461538461374095,0.7786885245837812,7.666666666666667,2.111111111111111,0.8611111111111112,0.6388888888888888
15,2011,1,27,JaJuan Johnson,Purdue,34.0,1203.0,257.0,520.0,242.0,469.0,15.0,51.0,169.0,209.0,82.0,209.0,291.0,33.0,30.0,79.0,56.0,53.0,698.0,28.8,3.7,4.9,8.6,0.564,0.509,7.9,20.2,14.1,6.4,1.5,6.7,8.3,29.1,117.2,90.3,4.3,2.9,7.2,617.0,0.0,20.529411764705884,0.49423076923076925,0.5159914712153518,0.29411764705305654,0.8086124401875187,8.558823529411764,0.9705882352941176,0.8823529411764706,2.323529411764706
16,2011,1,29,Cory Joseph,Texas,36.0,1166.0,136.0,322.0,84.0,196.0,52.0,126.0,51.0,73.0,23.0,105.0,128.0,109.0,37.0,11.0,54.0,65.0,375.0,15.1,3.9,3.7,7.7,0.526,0.503,2.2,9.5,6.0,17.3,1.9,0.9,13.1,17.3,112.7,95.0,2.2,2.2,4.4,372.0,0.0,10.416666666666666,0.422360248447205,0.42857142857142855,0.4126984126951373,0.698630136976731,3.5555555555555554,3.0277777777777777,1.0277777777777777,0.3055555555555556
17,2011,1,30,Jimmy Butler,Marquette,37.0,1282.0,187.0,382.0,167.0,324.0,20.0,58.0,188.0,240.0,90.0,135.0,225.0,86.0,53.0,13.0,54.0,49.0,582.0,24.0,7.0,2.4,9.4,0.5870000000000001,0.516,8.2,12.0,10.1,13.2,2.4,1.1,9.8,21.3,126.8,102.5,4.8,1.5,6.3,569.0,0.0,15.72972972972973,0.4895287958115183,0.5154320987654321,0.3448275862009513,0.7833333333300695,6.081081081081081,2.324324324324324,1.4324324324324325,0.35135135135135137
18,2011,2,33,Kyle Singler,Duke,37.0,1286.0,219.0,509.0,157.0,316.0,62.0,193.0,125.0,155.0,88.0,165.0,253.0,60.0,34.0,12.0,70.0,98.0,625.0,20.0,4.6,2.2,6.8,0.536,0.491,8.0,13.3,10.8,8.8,1.5,0.8,10.7,24.7,114.8,95.1,3.7,2.5,6.1,598.0,0.0,16.89189189189189,0.4302554027504912,0.49683544303797467,0.3212435233143977,0.8064516128980229,6.837837837837838,1.6216216216216217,0.918918918918919,0.32432432432432434
19,2011,2,34,Shelvin Mack,Butler,38.0,1219.0,201.0,493.0,114.0,247.0,87.0,246.0,120.0,156.0,27.0,143.0,170.0,131.0,30.0,3.0,93.0,66.0,609.0,21.0,5.3,1.0,6.3,0.537,0.496,2.6,14.4,8.4,24.9,1.5,0.3,14.1,28.6,109.9,100.9,3.3,1.6,5.0,593.0,0.0,16.026315789473685,0.4077079107505071,0.46153846153846156,0.3536585365839282,0.7692307692258383,4.473684210526316,3.4473684210526314,0.7894736842105263,0.07894736842105263
20,2011,2,35,Tyler Honeycutt,UCLA,33.0,1154.0,144.0,355.0,89.0,203.0,55.0,152.0,78.0,106.0,50.0,188.0,238.0,93.0,29.0,67.0,100.0,52.0,421.0,17.4,2.0,5.3,7.3,0.519,0.483,5.3,17.8,11.9,16.8,1.5,5.5,19.8,22.3,99.7,96.3,1.2,2.1,3.3,415.0,0.0,12.757575757575758,0.4056338028169014,0.43842364532019706,0.36184210526077737,0.7358490565968316,7.212121212121212,2.8181818181818183,0.8787878787878788,2.0303030303030303
21,2011,2,36,Jordan Williams,Maryland,33.0,1073.0,213.0,396.0,213.0,396.0,0.0,0.0,131.0,228.0,121.0,267.0,388.0,21.0,23.0,45.0,53.0,80.0,557.0,25.2,2.0,3.1,5.1,0.552,0.5379999999999999,12.6,26.0,19.5,3.9,1.2,4.1,9.5,24.5,115.1,89.9,3.1,2.6,5.7,512.0,0.0,16.87878787878788,0.5378787878787878,0.5378787878787878,0.0,0.574561403506252,11.757575757575758,0.6363636363636364,0.696969696969697,1.3636363636363635
22,2011,2,37,Trey Thompkins,Georgia,30.0,937.0,194.0,403.0,171.0,329.0,23.0,74.0,82.0,119.0,56.0,173.0,229.0,42.0,33.0,50.0,76.0,67.0,493.0,24.2,1.9,3.9,5.8,0.536,0.51,7.3,20.4,14.2,11.1,2.2,5.7,14.2,29.9,104.3,93.0,1.9,2.0,3.8,433.0,0.0,16.433333333333334,0.4813895781637717,0.5197568389057751,0.31081081080661066,0.6890756302463102,7.633333333333334,1.4,1.1,1.6666666666666667
23,2011,2,38,Chandler Parsons,Florida,36.0,1229.0,155.0,323.0,112.0,206.0,43.0,117.0,54.0,97.0,74.0,205.0,279.0,136.0,34.0,15.0,81.0,67.0,407.0,19.7,5.2,4.3,9.5,0.551,0.546,7.3,19.3,13.4,21.6,1.7,1.3,18.0,19.2,112.4,96.0,2.7,2.2,5.0,440.0,0.0,11.305555555555555,0.47987616099071206,0.5436893203883495,0.3675213675182263,0.5567010309220959,7.75,3.7777777777777777,0.9444444444444444,0.4166666666666667
24,2011,2,40,Jon Leuer,Wisconsin,34.0,1139.0,227.0,483.0,173.0,337.0,54.0,146.0,113.0,134.0,57.0,189.0,246.0,56.0,17.0,30.0,54.0,75.0,621.0,28.7,6.3,1.9,8.3,0.568,0.526,6.3,22.6,14.1,12.8,1.0,3.1,9.0,31.1,118.3,99.7,4.6,1.7,6.3,558.0,0.0,18.264705882352942,0.4699792960662526,0.5133531157270029,0.36986301369609687,0.8432835820832592,7.235294117647059,1.6470588235294117,0.5,0.8823529411764706
25,2011,2,41,Darius Morris,Michigan,35.0,1219.0,201.0,411.0,185.0,347.0,16.0,64.0,108.0,151.0,31.0,108.0,139.0,235.0,36.0,1.0,103.0,74.0,526.0,22.7,5.4,2.0,7.4,0.545,0.509,3.2,10.8,7.0,44.2,1.9,0.1,17.6,27.3,111.4,102.1,3.8,1.5,5.3,609.0,0.0,15.028571428571428,0.48905109489051096,0.5331412103746398,0.24999999999609374,0.7152317880747336,3.9714285714285715,6.714285714285714,1.0285714285714285,0.02857142857142857
26,2011,2,43,Malcolm Lee,UCLA,33.0,1093.0,141.0,323.0,102.0,191.0,39.0,132.0,112.0,144.0,23.0,78.0,101.0,67.0,22.0,7.0,56.0,80.0,433.0,15.3,3.7,0.4,4.1,0.5529999999999999,0.4970000000000001,2.6,7.8,5.3,12.9,1.2,0.6,12.5,20.8,113.2,104.2,2.4,1.1,3.6,398.0,0.0,13.121212121212121,0.43653250773993807,0.5340314136125655,0.2954545454523072,0.7777777777723766,3.0606060606060606,2.0303030303030303,0.6666666666666666,0.21212121212121213
27,2011,2,44,Charles Jenkins,Hofstra,33.0,1232.0,249.0,482.0,183.0,325.0,66.0,157.0,182.0,221.0,18.0,93.0,111.0,158.0,57.0,22.0,73.0,66.0,746.0,31.4,10.0,-1.1,8.9,0.635,0.585,1.8,8.8,5.3,31.5,2.9,1.9,11.1,28.7,128.0,107.8,6.4,0.9,7.3,706.0,0.0,22.606060606060606,0.516597510373444,0.563076923076923,0.420382165602418,0.8235294117609795,3.3636363636363638,4.787878787878788,1.7272727272727273,0.6666666666666666
28,2011,2,45,Josh Harrellson,Kentucky,38.0,1083.0,127.0,208.0,125.0,198.0,2.0,10.0,33.0,56.0,140.0,189.0,329.0,30.0,35.0,57.0,28.0,91.0,289.0,22.3,5.4,6.0,11.4,0.616,0.615,15.2,18.9,17.1,5.1,2.0,5.2,10.7,12.5,134.3,92.6,3.2,2.3,5.5,324.0,0.0,7.605263157894737,0.6105769230769231,0.6313131313131313,0.19999999998,0.5892857142751914,8.657894736842104,0.7894736842105263,0.9210526315789473,1.5
29,2011,2,46,Andrew Goudelock,College of Charleston,37.0,1302.0,318.0,699.0,187.0,377.0,131.0,322.0,110.0,134.0,25.0,118.0,143.0,157.0,33.0,7.0,119.0,66.0,877.0,26.7,6.5,-2.6,4.0,0.575,0.5489999999999999,2.3,9.9,6.3,26.4,1.5,0.5,13.5,34.5,115.1,105.7,5.3,1.2,6.5,830.0,0.0,23.7027027027027,0.45493562231759654,0.4960212201591512,0.4068322981353825,0.8208955223819336,3.864864864864865,4.243243243243243,0.8918918918918919,0.1891891891891892
